IndCode,Indicator (EN),Indicateur (FR)
EmailMedFm,Percentage of medium-sized firms using email to interact with clients/suppliers,Pourcentage d'entreprises de taille moyenne utilisant le courrier électronique pour interagir avec leurs clients / fournisseurs
EmailSmlFm,Percentage of small firms using email to interact with clients/suppliers,"Pourcentage de petites entreprises utilisant le courrier électronique pour interagir avec les clients / fournisseurs, mesure la plus récente"
EmailTotFm,Percentage of firms of all sizes using email to interact with clients/suppliers,Pourcentage d'entreprises de toutes tailles utilisant le courrier électronique pour interagir avec les clients / fournisseurs
ExpICTSrv,"Total exports of ICT services, millions of USD","Exportations totales de services TIC, millions de dollars US"
ExpICTSrvPrp,Percentage of total trade in services,Pourcentage du commerce total des services
ExpDigSrv,"Total exports of digital services, millions of USD","Exportations totales de services numériques, millions de dollars US"
ExpDigSrvPrp,Exports of digital services as a % of total exports,Exportations de services numériques en % des exportations totales
B2CDevInd,UNCTAD B2C E-commerce Index,Indice du commerce électronique B2C de la CNUCED
NegativeAffect,Negative affect,Affect négatif
PositiveAffect,Positive affect,Affect positif
ExpProd1,Product category among 4-digit HS96 classification accounting for the highest share of total value of exports.,Catégorie de produits avec la plus grande part des exportations totales
ExpProdPct1,% of exports ascribed to 4-digit HS96 product category with highest level of exports,% des exportations attribuées à la catégorie de produits SH96 à 4 chiffres avec le plus haut niveau d'exportations
ExpProd2,Product category among 4-digit HS96 classification accounting for the second highest share of total value of exports.,Catégorie de produits constituant la deuxième plus grande % des exportations totales
ExpProdPct2,% of exports ascribed to 4-digit HS96 product category with the second highest level of exports,% des exportations attribuées à la catégorie de produits SH96 à 4 chiffres avec le deuxième niveau d'exportations le plus élevé
ExpProd3,Product category among 4-digit HS96 classification accounting for the third highest share of total value of exports.,Catégorie de produits constituant la troisième plus grande % des exportations totales
ExpProdPct3,% of exports ascribed to 4-digit HS96 product category with the third highest level of exports,% des exportations attribuées à la catégorie de produits SH96 à 4 chiffres avec le troisième niveau d'exportations le plus élevé
ExpProd4,Product category among 4-digit HS96 classification accounting for the fourth highest share of total value of exports.,Catégorie de produits constituant la quatrième plus grande % des exportations totales
ExpProdPct4,% of exports ascribed to 4-digit HS96 product category with the fourth highest level of exports,% des exportations attribuées à la catégorie de produits SH96 à 4 chiffres avec le quatrième niveau d'exportations le plus élevé
ExpProd5,Product category among 4-digit HS96 classification accounting for the fifth highest share of total value of exports.,Catégorie de produits constituant la cinquième plus grande % des exportations totales
ExpProdPct5,% of exports ascribed to 4-digit HS96 product category with the fifth highest level of exports,% des exportations attribuées à la catégorie de produits SH96 à 4 chiffres avec le cinquième niveau d'exportations le plus élevé
IMFFDI,Foreign Direct Investment (FDI) inflows (millions of USD) - asset/liability IMF data,Entrées d’investissements directs étrangers (IDE) (millions de dollars US) - Données actif/passif du FMI
PortfolioInFl,Portfolio investment inflows (millions of USD),Entrées des investissements de portefeuille (millions de dollars US)
OtherInFl,Other investment inflows (millions of USD),"Autres entrées d'investissement, millions de dollars US"
TotalFinInflows,Total financial inflows (millions of USD),Entrées financières totales (millions de dollars US)
DILiabPGD,Direct investment liabilities (stock) as a % of GDP,Passifs d'investissement direct (stock) en % du PIB
DIDebitPGD,Direct investment debit (income) as a % of GDP,Débit d'investissement direct (revenu) en % du PIB
DIAssetPGD,Direct investment assets (stock) as a % of GDP,Actifs d'investissement direct (stock) en % du PIB
DICredPGD,Direct investment credit (income) as a % of GDP,Crédit d'investissement direct (revenu) en % du PIB
DILiabUSD,"Direct investment liabilities (stock), millions of USD","Passifs d'investissement direct (stock), millions de dollars US"
DIDebitUSD,"Direct investment debit (income), millions of USD","Débit d'investissement direct (revenu), millions de dollars US"
DIAssetUSD,"Direct investment assets (stock), millions of USD","Actifs d'investissement direct (stock), millions de dollars US"
DICredUSD,"Direct investment credit (income), millions of USD","Crédit d'investissement direct (revenu), millions de dollars US"
FrmGteEm,Farm gate emissions (kilotonnes of CO2 equivalent emissions),Émissions à la ferme (émissions en kilotonnes d'équivalent CO2)
LndUseChgEm,Land Use change (kilotonnes of CO2 equivalent emissions),Changement d'utilisation des terres (kilotonnes d'émissions d'équivalent CO2)
FrstLandEm,Forestland (kilotonnes of CO2 equivalent emissions),Terres forestières (kilotonnes d'émissions d'équivalent CO2)
FrstFireEm,Forest fires (kilotonnes of CO2 equivalent emissions),Incendies de forêts (émissions en kilotonnes d'équivalent CO2)
SynthFertEm,Synthetic Fertilizers (kilotonnes of CO2 equivalent emissions),Engrais synthétiques (émissions en kilotonnes d'équivalent CO2)
OnFrmEngyEm,On-farm energy use (kilotonnes of CO2 equivalent emissions),Consommation d'énergie à la ferme (kilotonnes d'émissions d'équivalent CO2)
AgricProd,Agricultural Production (millions of USD),Production agricole (millions de dollars US)
AgFoodProd,Food Production (millions of USD),Production alimentaire (millions de dollars US)
AgCropProd,Crops Production (millions of USD),Production des cultures (millions de dollars US)
AgLvStProd,Livestock Production (millions of USD),Production de bétail (millions de dollars US)
AgNnFdProd,Non food agricultural production (millions of USD),Production agricole non alimentaire (millions de dollars US)
FoodSupp,Total food supply (kcal/capita/day),Approvisionnement alimentaire total (kcal / habitant / jour)
WoodProd,Production of wood products (thousands of cubic meters),Production de produits du bois (milliers de mètres cubes)
ChrPlpPprPrd,"Production of wood charcoal, pulp, paper, fibre and pellets (thousands of tonnes)","Production de charbon de bois, pâte à papier, papier, fibres et granulés (milliers de tonnes)"
FertProdNit,Nutrient nitrogen production (thousands of tonnes),Production d'azote nutritif (milliers de tonnes)
FertProdPho,Nutrient phosphate production (thousands of tonnes),Production de phosphate nutritif (milliers de tonnes)
FertProdPot,Nutrient potash production (thousands of tonnes),Production de potasse nutritive (milliers de tonnes)
FertUseNit,Agricultural use of nutrient nitrogen (thousands of tonnes),Utilisation agricole d'azote nutritif (milliers de tonnes)
FertUsePho,Agricultural use of nutrient phosphate (thousands of tonnes),Utilisation agricole de phosphate nutritif (milliers de tonnes)
FertUsePot,Agricultural use of nutrient potash (thousands of tonnes),Utilisation agricole de potasse nutritif (milliers de tonnes)
EdExpGovGEM21,Government education expenditure as reported in Global Education Monitoring Report 2021/22 (% of GDP),Dépenses publiques en matière d'éducation telles que rapportées dans le Rapport mondial de suivi sur l'éducation 2021/22 (% du PIB)
EdExpHHGEM21,Household education expenditure as reported in Global Education Monitoring Report 2021/22 (% of GDP),Dépenses d'éducation des ménages telles que rapportées dans le Rapport mondial de suivi sur l'éducation 2021/22 (% du PIB)
GHGFCOMB,CO2 equivalent emissions (kt) of GHG from fuel combustion,Émissions d'équivalent CO2 (kt) de GES provenant de la combustion de carburant
OTHEN,CO2 equivalent emissions (kt) from other energy industry own use,Émissions d'équivalent CO2 (kt) provenant de l'autoconsommation d'autres industries énergétiques
TOTIND,CO2 equivalent emissions (kt) from manufacturing industries and construction,Émissions d'équivalent CO2 (kt) des industries manufacturières et de la construction
TOTTRANS,CO2 equivalent emissions (kt) from transport,Émissions d'équivalent CO2 (kt) du transport
RESIDENT,CO2 equivalent emissions (kt) from residential,Émissions d'équivalent CO2 (kt) du secteur résidentiel
COMMPUB,CO2 equivalent emissions (kt) from commercial and public services,Émissions d'équivalent CO2 (kt) des services commerciaux et publics
AGRICULT,CO2 equivalent emissions (kt) from agriculture/forestry,Émissions d'équivalent CO2 (kt) de l'agriculture/foresterie
FISHING,CO2 equivalent emissions (kt) from fishing,Émissions d'équivalent CO2 (kt) de la pêche
ONONSPEC,CO2 equivalent emissions (kt) from final consumption not elsewhere specified,Émissions d'équivalent CO2 (kt) de la consommation finale non spécifiée ailleurs
ELECHEAT,CO2 equivalent emissions (kt) from electricity and heat production,Émissions d'équivalent CO2 (kt) de la production d'électricité et de chaleur
ROAD,CO2 equivalent emissions (kt) from roads (included within transport),Émissions d'équivalent CO2 (kt) provenant des routes (incluses dans les transports)
TrdCstDBord,"Average cost of trade with bordering countries as % of merchandise value, manufactured goods","Coût moyen du commerce avec les pays limitrophes en % de la valeur des marchandises, produits manufacturés"
TrdCstDAUCReg,"Average cost of trade within the same AU region as % of merchandise value, manufactured goods","Coût moyen du commerce au sein de la même région de l'UA en % de la valeur des marchandises, produits manufacturés"
TrdCstDCont,"Average cost of trade within continent as % of merchandise value, manufactured goods","Coût moyen du commerce à l'intérieur du continent en % de la valeur des marchandises, produits manufacturés"
TrdCstDWLD,"Average cost of trade with all countries as % of merchandise value, manufactured goods","Coût moyen du commerce avec tous les pays en % de la valeur des marchandises, produits manufacturés"
TrdCstDInternal,"Average cost of trade within country group as % of merchandise value, manufactured goods","Coût moyen du commerce au sein du groupe de pays en % de la valeur des marchandises, produits manufacturés"
TrdCstDExternal,"Average cost of trade with countries outside the country group as % of merchandise value, manufactured goods","Coût moyen du commerce avec les pays hors du groupe de pays en % de la valeur des marchandises, produits manufacturés"
TrdCstABBord,"Average cost of trade with bordering countries as % of merchandise value, primary goods","Coût moyen du commerce avec les pays limitrophes en % de la valeur des marchandises, produits primaires"
TrdCstABAUCReg,"Average cost of trade within the same AU region as % of merchandise value, primary goods","Coût moyen du commerce au sein de la même région de l'UA en % de la valeur des marchandises, produits primaires"
TrdCstABCont,"Average cost of trade within continent as % of merchandise value, primary goods","Coût moyen du commerce à l'intérieur du continent en % de la valeur des marchandises, produits primaires"
TrdCstABWLD,"Average cost of trade with all countries as % of merchandise value, primary goods","Coût moyen du commerce avec tous les pays en % de la valeur des marchandises, produits primaires"
TrdCstABInternal,"Average cost of trade within country group as % of merchandise value, primary goods","Coût moyen du commerce au sein du groupe de pays en % de la valeur des marchandises, produits primaires"
TrdCstABExternal,"Average cost of trade with countries outside the country group as % of merchandise value, primary goods","Coût moyen du commerce avec les pays hors du groupe de pays en % de la valeur des marchandises, produits primaires"
NatCapLD,"National wealth, agricultural lands (billions of US dollars)","Richesse nationale, terres agricoles  (milliards de dollars US)"
NatCapCO,"National wealth, coal (billions of US dollars)","Richesse nationale, charbon  (milliards de dollars US)"
NatCapCL,"National wealth, cropland (billions of US dollars)","Richesse nationale, terres cultivées (en milliards de dollars internationaux constants de 2018)"
NatCapFS,"National wealth, fisheries (billions of US dollars)","Richesse nationale, pêche  (milliards de dollars US)"
NatCapFE,"National wealth, forests - ecosystem services (billions of US dollars)","Richesse nationale, forêts - services écosystémiques  (milliards de dollars US)"
NatCapFT,"National wealth, forests - timber (billions of US dollars)","Richesse nationale, forêts - bois  (milliards de dollars US)"
NatCapEN,"National wealth, fossil fuel energy (billions of US dollars)","Richesse nationale, énergie fossile  (milliards de dollars US)"
NatCapHC,"National wealth, human capital (billions of US dollars)","Richesse nationale, capital humain  (milliards de dollars US)"
NatCapMA,"National wealth, mangroves (billions of US dollars)","Richesse nationale, mangroves  (milliards de dollars US)"
NatCapMN,"National wealth, metals and minerals (billions of US dollars)","Richesse nationale, métaux et minéraux (en milliards de dollars internationaux constants de 2018)"
NatCapNK,"National wealth, natural capital (billions of US dollars)","Richesse nationale, capital naturel  (milliards de dollars US)"
NatCapSS,"National wealth, natural capital - nonrenewable (billions of US dollars)","Richesse nationale, capital naturel - non renouvelable  (milliards de dollars US)"
NatCapRN,"National wealth, natural capital - renewable (billions of US dollars)","Richesse nationale, capital naturel - renouvelable  (milliards de dollars US)"
NatCapGS,"National wealth, natural gas (billions of US dollars)","Richesse nationale, gaz naturel  (milliards de dollars US)"
NatCapFA,"National wealth, net foreign assets (billions of US dollars)","Richesse nationale, avoirs extérieurs nets (en milliards de dollars internationaux constants de 2018)"
NatCapOL,"National wealth, oil (billions of US dollars)","Richesse nationale, pétrole  (milliards de dollars US)"
NatCapPS,"National wealth, pastureland (billions of US dollars)","Richesse nationale, pâturages  (milliards de dollars US)"
NatCapPK,"National wealth, produced capital (billions of US dollars)","Richesse nationale, capital produit (en milliards de dollars internationaux constants de 2018)"
NatCapPA,"National wealth, protected areas (billions of US dollars)","Richesse nationale, aires protégées  (milliards de dollars US)"
NatCapTW,"National wealth, total wealth (billions of US dollars)","Richesse nationale, richesse totale (en milliards de dollars internationaux constants de 2018)"
EduMMAllMtcFem,Percentage of workers with education matching requirements - females,Pourcentage de travailleurs dont l'éducation correspond aux exigences professionnelles - femmes
EduMMAllMtcMal,Percentage of workers with education matching requirements - males,Pourcentage de travailleurs dont l'éducation correspond aux exigences professionnelles - hommes
EduMMAllMtcTot,Percentage of workers with education matching requirements - both sexes,Pourcentage de travailleurs dont l'éducation correspond aux exigences professionnelles - les deux sexes
EduMMAllOvrFem,Percentage of workers with education above requirements - females,Pourcentage de travailleurs ayant un niveau d'éducation supérieur aux exigences professionnelles - femmes
EduMMAllOvrMal,Percentage of workers with education above requirements - males,Pourcentage de travailleurs ayant un niveau d'éducation supérieur aux exigences professionnelles - hommes
EduMMAllOvrTot,Percentage of workers with education above requirements - both sexes,Pourcentage de travailleurs ayant un niveau d'éducation supérieur aux exigences professionnelles - les deux sexes
EduMMAllUndFem,Percentage of workers with education under requirements - females,Pourcentage de travailleurs ayant un niveau d'éducation inférieur aux exigences professionnelles - femmes
EduMMAllUndMal,Percentage of workers with education under requirements - males,Pourcentage de travailleurs ayant un niveau d'éducation inférieur aux exigences professionnelles - hommes
EduMMAllUndTot,Percentage of workers with education under requirements - both sexes,Pourcentage de travailleurs ayant un niveau d'éducation inférieur aux exigences professionnelles - les deux sexes
EduMMEmpMtcFem,Percentage of employees with education matching requirements - females,Pourcentage d'employés dont l'éducation correspond aux exigences professionnelles - femmes
EduMMEmpMtcMal,Percentage of employees with education matching requirements - males,Pourcentage d'employés dont l'éducation correspond aux exigences professionnelles - hommes
EduMMEmpMtcTot,Percentage of employees with education matching requirements - both sexes,Pourcentage d'employés dont l'éducation correspond aux exigences professionnelles - les deux sexes
EduMMEmpOvrFem,Percentage of employees with education above requirements - females,Pourcentage d'employés ayant un niveau d'éducation supérieur aux exigences de la profession - femmes
EduMMEmpOvrMal,Percentage of employees with education above requirements - males,Pourcentage d'employés ayant un niveau d'éducation supérieur aux exigences professionnelles - hommes
EduMMEmpOvrTot,Percentage of employees with education above requirements - both sexes,Pourcentage d'employés ayant un niveau d'éducation supérieur aux exigences professionnelles - hommes et femmes
EduMMEmpUndFem,Percentage of employees with education under requirements - females,Pourcentage de salariés ayant un niveau d'éducation inférieur aux exigences professionnelles - femmes
EduMMEmpUndMal,Percentage of employees with education under requirements - males,Pourcentage de salariés ayant un niveau d'éducation inférieur aux exigences professionnelles - hommes
EduMMEmpUndTot,Percentage of employees with education under requirements - both sexes,Pourcentage de salariés ayant un niveau d'études inférieur aux exigences professionnelles - hommes et femmes
EduMMSlfMtcFem,Percentage of self-employed workers with education matching requirements - females,Pourcentage de travailleurs indépendants ayant un niveau d'études correspondant aux exigences professionnelles - femmes
EduMMSlfMtcMal,Percentage of self-employed workers with education matching requirements - males,Pourcentage de travailleurs indépendants ayant un niveau d'études correspondant aux exigences professionnelles - hommes
EduMMSlfMtcTot,Percentage of self-employed workers with education matching requirements - both sexes,Pourcentage de travailleurs indépendants ayant un niveau d'études correspondant aux exigences professionnelles - les deux sexes
EduMMSlfOvrFem,Percentage of self-employed workers with education above requirements - females,Pourcentage de travailleurs indépendants ayant un niveau d'éducation supérieur aux exigences professionnelles - femmes
EduMMSlfOvrMal,Percentage of self-employed workers with education above requirements - males,Pourcentage de travailleurs indépendants ayant un niveau d'éducation supérieur aux exigences professionnelles - hommes
EduMMSlfOvrTot,Percentage of self-employed workers with education above requirements - both sexes,Pourcentage de travailleurs indépendants ayant un niveau d'éducation supérieur aux exigences professionnelles - les deux sexes
EduMMSlfUndFem,Percentage of self-employed workers with education under requirements - females,Pourcentage de travailleurs indépendants ayant un niveau d'éducation inférieur aux exigences professionnelles - femmes
EduMMSlfUndMal,Percentage of self-employed workers with education under requirements - males,Pourcentage de travailleurs indépendants ayant un niveau d'éducation inférieur aux exigences professionnelles - hommes
EduMMSlfUndTot,Percentage of self-employed workers with education under requirements - both sexes,Pourcentage de travailleurs indépendants ayant un niveau d'études inférieur aux exigences professionnelles - les deux sexes
EmpOccManagr,Total people employed as managers,Nombre total de personnes employées en tant que directeur
EmpOccClrSpp,Total people employed as clerical and support workers,Nombre total de personnes employées en tant qu'employés de bureau et personnel de soutien
EmpOccElmAgr,"Total people employed in elementary occupations or as skilled agricultural, forestry or fishery workers","Total des personnes employées dans des professions élémentaires ou comme travailleurs qualifiés dans l'agriculture, la sylviculture ou la pêche"
EmpOccManagrPct,Percentage of employees working as managers,Pourcentage d'employés travaillant en tant que directeur
EmpOccClrSppPct,Percentage of employees working as clerical and support workers,Pourcentage d'employés travaillant en tant qu'employés de bureau et personnel de soutien
EmpOccElmAgrPct,"Percentage of employees working in elementary occupations or as skilled agricultural, forestry or fishery workers","Pourcentage d'employées travaillant dans des professions élémentaires ou comme travailleurs qualifiés dans l'agriculture, la sylviculture ou la pêche"
ExtDbtMtrty,Average maturity on new external debt commitments (years),Maturité moyenne des nouveaux engagements de dette extérieure (années)
ExtDbtMtrtyOff,"Average maturity on new external debt commitments, official (years)","Maturité moyenne des nouveaux engagements de dette extérieure, officielle (années)"
ExtDbtMtrtyPrv,"Average maturity on new external debt commitments, private (years)","Maturité moyenne des nouveaux engagements de dette extérieure, privée (années)"
